ClutserID	Streptococcus_pneumoniae_CGSP14	Streptococcus_pneumoniae_G54	Streptococcus_pneumoniae_R6	Streptococcus_pneumoniae_Hungary19A-6	Streptococcus_pneumoniae_P1031	Streptococcus_pneumoniae_TCH8431-19A
174	ACB90185.1	ACF55235.1	AAK99663.1	ACA37214.1	ACO21336.1	ADI69760.1
175	ACB89439.1	ACF55172.1	AAK98963.1	ACA35653.1	ACO21371.1	ADI68700.1
176	ACB90360.1	ACF56068.1	AAK99876.1	ACA36277.1	ACO21770.1	ADI69538.1
177	ACB91023.1	ACF55242.1	AAL00419.1	ACA36852.1	ACO21319.1	ADI70249.1
178	ACB91272.1	ACF55208.1	AAL00666.1	ACA37228.1	ACO21568.1	ADI68277.1
179	ACB91217.1	ACF54874.1	AAL00616.1	ACA36485.1	ACO21924.1	ADI70496.1
180	ACB91296.1	ACF54893.1	AAL00691.1	ACA36427.1	ACO20262.1	ADI68303.1
181	ACB90972.1	ACF56532.1	AAL00394.1	ACA36229.1	ACO20848.1	ADI70217.1
182	ACB91050.1	ACF55982.1	AAL00437.1	ACA36507.1	ACO21684.1	ADI70269.1
183	ACB89592.1	ACF56547.1	AAK99109.1	ACA35960.1	ACO20384.1	ADI68867.1
184	ACB89289.1	ACF55812.1	AAK98840.1	ACA35616.1	ACO20279.1	ADI68552.1
185	ACB91150.1	ACF56060.1	AAL00542.1	ACA36152.1	ACO20274.1	ADI70386.1
186	ACB89990.1	ACF56441.1	AAK99501.1	ACA36174.1	ACO21335.1	ADI69931.1
187	ACB90343.1	ACF55730.1	AAK99894.1	ACA37296.1	ACO21670.1	ADI69518.1
188	ACB89474.1	ACF54934.1	AAK98996.1	ACA36513.1	ACO20759.1	ADI68753.1
189	ACB91170.1	ACF54990.1	AAL00564.1	ACA36552.1	ACO20527.1	ADI70415.1
190	ACB90596.1	ACF55173.1	AAL00016.1	ACA35702.1	ACO21544.1	ADI69423.1
191	ACB91351.1	ACF56408.1	AAL00741.1	ACA36357.1	ACO20736.1	ADI68360.1
192	ACB91411.1	ACF55720.1	AAL00798.1	ACA37028.1	ACO20533.1	ADI68430.1
193	ACB89464.1	ACF55993.1	AAK98987.1	ACA36069.1	ACO21869.1	ADI68743.1
194	ACB90022.1	ACF55342.1	AAK99535.1	ACA37117.1	ACO20750.1	ADI69893.1
195	ACB90617.1	ACF54782.1	AAL00037.1	ACA35505.1	ACO21118.1	ADI69401.1
196	ACB91455.1	ACF56795.1	AAL00845.1	ACA37355.1	ACO20592.1	ADI68479.1
197	ACB89795.1	ACF55475.1	AAK99309.1	ACA36120.1	ACO20660.1	ADI69098.1
198	ACB90066.1	ACF56498.1	AAK99577.1	ACA36282.1	ACO21161.1	ADI69851.1
199	ACB91394.1	ACF55448.1	AAL00782.1	ACA37435.1	ACO20509.1	ADI68406.1
200	ACB90779.1	ACF56838.1	AAL00200.1	ACA36222.1	ACO21052.1	ADI70003.1
201	ACB89777.1	ACF55712.1	AAK99291.1	ACA37174.1	ACO21518.1	ADI69084.1
202	ACB90855.1	ACF56848.1	AAL00272.1	ACA36696.1	ACO21720.1	ADI70094.1
203	ACB91336.1	ACF55237.1	AAL00730.1	ACA37013.1	ACO20257.1	ADI68346.1
204	ACB90246.1	ACF55846.1	AAK99723.1	ACA35687.1	ACO21492.1	ADI69690.1
205	ACB90915.1	ACF54993.1	AAL00338.1	ACA35708.1	ACO21398.1	ADI70161.1
206	ACB90171.1	ACF55740.1	AAK99650.1	ACA35595.1	ACO21537.1	ADI69773.1
207	ACB91156.1	ACF55725.1	AAL00549.1	ACA37369.1	ACO21162.1	ADI70401.1
208	ACB90798.1	ACF55032.1	AAL00222.1	ACA37550.1	ACO20187.1	ADI70025.1
209	ACB90802.1	ACF56200.1	AAL00227.1	ACA36649.1	ACO20809.1	ADI70029.1
210	ACB89481.1	ACF55721.1	AAK99004.1	ACA36524.1	ACO21454.1	ADI68760.1
211	ACB89578.1	ACF55612.1	AAK99094.1	ACA37204.1	ACO22174.1	ADI68851.1
212	ACB89631.1	ACF55936.1	AAK99145.1	ACA36094.1	ACO21933.1	ADI68910.1
213	ACB89678.1	ACF56654.1	AAK99192.1	ACA36869.1	ACO20557.1	ADI68948.1
214	ACB90193.1	ACF56177.1	AAK99671.1	ACA36158.1	ACO20721.1	ADI69751.1
215	ACB89558.1	ACF55231.1	AAK99074.1	ACA36241.1	ACO20229.1	ADI68837.1
216	ACB90894.1	ACF55051.1	AAL00318.1	ACA36879.1	ACO21194.1	ADI70140.1
217	ACB91275.1	ACF55866.1	AAL00669.1	ACA36027.1	ACO20865.1	ADI68280.1
218	ACB90748.1	ACF54860.1	AAL00168.1	ACA35605.1	ACO22018.1	ADI69973.1
219	ACB90057.1	ACF56741.1	AAK99567.1	ACA37122.1	ACO21904.1	ADI69858.1
220	ACB89498.1	ACF55500.1	AAK99022.1	ACA35801.1	ACO21303.1	ADI68778.1
221	ACB89509.1	ACF56859.1	AAK99031.1	ACA36088.1	ACO20177.1	ADI68790.1
222	ACB91420.1	ACF56501.1	AAL00808.1	ACA36651.1	ACO20366.1	ADI68442.1
223	ACB89919.1	ACF56399.1	AAK99434.1	ACA36466.1	ACO20903.1	ADI69230.1
224	ACB90921.1	ACF54913.1	AAL00343.1	ACA37499.1	ACO21114.1	ADI70167.1
225	ACB90253.1	ACF56057.1	AAK99731.1	ACA36454.1	ACO21691.1	ADI69683.1
226	ACB89963.1	ACF56591.1	AAK99474.1	ACA35796.1	ACO21800.1	ADI69271.1
227	ACB90917.1	ACF55470.1	AAL00340.1	ACA36706.1	ACO21301.1	ADI70163.1
228	ACB89490.1	ACF55873.1	AAK99013.1	ACA36453.1	ACO21676.1	ADI68769.1
229	ACB90906.1	ACF55823.1	AAL00329.1	ACA36268.1	ACO21524.1	ADI70152.1
230	ACB90607.1	ACF54861.1	AAL00028.1	ACA37563.1	ACO20154.1	ADI69411.1
231	ACB90205.1	ACF56052.1	AAK99685.1	ACA37198.1	ACO21539.1	ADI69739.1
232	ACB90620.1	ACF56706.1	AAL00040.1	ACA36483.1	ACO21846.1	ADI69398.1
233	ACB90442.1	ACF55614.1	AAK99800.1	ACA37522.1	ACO20491.1	ADI69622.1
234	ACB89977.1	ACF56791.1	AAK99488.1	ACA37473.1	ACO21773.1	ADI69945.1
235	ACB89413.1,ACB90573.1	ACF55350.1	-	ACA36356.1	ACO22165.1	ADI70421.1
236	ACB89486.1	ACF56732.1	AAK99009.1	ACA36204.1	ACO20879.1	ADI68765.1
237	ACB89955.1	ACF55963.1	AAK99467.1	ACA36725.1	ACO21156.1	ADI69264.1
238	ACB89454.1	ACF56721.1	AAK98976.1	ACA37371.1	ACO21037.1	ADI68732.1
239	ACB89731.1	ACF56145.1	AAK99247.1	ACA36202.1	ACO20633.1	ADI69024.1
240	ACB89579.1	ACF55120.1	AAK99095.1	ACA36289.1	ACO21438.1	ADI68852.1
241	ACB89767.1	ACF54897.1	AAK99281.1	ACA36667.1	ACO21790.1	ADI69072.1
242	ACB89859.1	ACF56560.1	AAK99372.1	ACA36351.1	ACO21719.1	ADI69171.1
243	ACB91122.1	ACF56543.1	AAL00514.1	ACA35818.1	ACO21987.1	ADI70354.1
244	ACB89698.1	ACF55042.1	AAK99211.1	ACA35778.1	ACO22192.1	ADI68972.1
245	ACB90872.1	ACF56510.1	AAL00295.1	ACA37161.1	ACO22214.1	ADI70118.1
246	ACB90121.1	ACF56852.1	AAK99597.1	ACA36970.1	ACO21533.1	ADI69825.1
247	ACB90801.1	ACF56637.1	AAL00226.1	ACA35599.1	ACO21708.1	ADI70028.1
248	ACB91192.1	ACF55128.1	AAL00593.1	ACA36697.1	ACO20454.1	ADI70472.1
249	ACB90033.1	ACF56450.1	AAK99545.1	ACA35822.1	ACO20339.1	ADI69882.1
250	ACB91376.1	ACF56070.1	AAL00764.1	ACA36366.1	ACO20589.1	ADI68387.1
251	ACB91253.1	ACF54804.1	AAL00649.1	ACA37336.1	ACO21927.1	ADI68259.1
252	ACB90812.1	ACF56186.1	AAL00236.1	ACA36865.1	ACO20996.1	ADI70038.1
253	ACB91124.1	ACF55473.1	AAL00516.1	ACA37007.1	ACO20261.1	ADI70356.1
254	ACB89947.1	ACF56075.1	AAK99459.1	ACA36991.1	ACO21056.1	ADI69257.1
255	ACB89483.1	ACF55899.1	AAK99006.1	ACA37306.1	ACO21796.1	ADI68762.1
256	ACB90220.1	ACF55377.1	AAK99701.1	ACA36101.1	ACO21958.1	ADI69722.1
257	ACB90811.1	ACF55821.1	AAL00235.1	ACA37457.1	ACO20881.1	ADI70037.1
258	ACB90078.1	ACF56143.1	AAK99584.1	ACA35731.1	ACO22170.1	ADI69844.1
259	ACB90023.1	ACF55188.1	AAK99536.1	ACA37494.1	ACO20221.1	ADI69892.1
260	ACB91419.1	ACF56173.1	AAL00807.1	ACA37099.1	ACO20958.1	ADI68441.1
261	ACB91443.1	ACF54820.1	AAL00832.1	ACA36686.1	ACO22055.1	ADI68467.1
262	ACB91115.1	ACF55621.1	AAL00508.1	ACA36391.1	ACO20868.1	ADI70346.1
263	ACB90031.1	ACF55519.1	AAK99543.1	ACA36689.1	ACO21582.1	ADI69884.1
264	ACB91271.1	ACF55582.1	AAL00665.1	ACA35862.1	ACO21116.1	ADI68276.1
265	ACB89487.1	ACF56141.1	AAK99010.1	ACA35676.1	ACO21971.1	ADI68766.1
266	ACB91094.1	ACF55219.1	AAL00487.1	ACA37548.1	ACO21510.1	ADI70321.1
267	ACB89708.1	ACF54932.1	AAK99219.1	ACA36726.1	ACO21227.1	ADI68982.1
268	ACB89689.1	ACF56466.1	AAK99203.1	ACA35744.1	ACO20639.1	ADI68963.1
269	ACB89479.1	ACF56731.1	AAK99002.1	ACA35935.1	ACO21045.1	ADI68758.1
270	ACB89695.1	ACF55327.1	AAK99209.1	ACA36505.1	ACO21206.1	ADI68969.1
271	ACB90933.1	ACF56380.1	AAL00357.1	ACA35937.1	ACO20629.1	ADI70179.1
272	ACB90821.1	ACF55446.1	AAL00245.1	ACA36054.1	ACO20659.1	ADI70049.1
273	ACB90462.1	ACF56507.1	AAK99780.1	ACA35515.1	ACO20915.1	ADI69644.1
274	ACB90357.1	ACF56505.1	AAK99879.1	ACA36024.1	ACO20352.1	ADI69535.1
275	ACB90295.1	ACF56204.1	AAK99941.1	ACA37291.1	ACO20437.1	ADI69469.1
276	ACB89355.1	ACF56614.1	AAK98900.1	ACA35964.1	ACO22051.1	ADI68624.1
277	ACB90310.1	ACF56683.1	AAK99927.1	ACA37409.1	ACO20307.1	ADI69484.1
278	ACB90621.1	ACF56073.1	AAL00041.1	ACA36835.1	ACO20853.1	ADI69395.1
279	ACB90605.1	ACF56165.1	AAL00026.1	ACA36042.1	ACO20180.1	ADI69413.1
280	ACB89654.1	ACF56508.1	AAK99169.1	ACA37430.1	ACO21548.1	ADI68923.1
281	ACB89871.1	ACF56813.1	AAK99384.1	ACA36752.1	ACO21812.1	ADI69183.1
282	ACB90864.1	ACF55247.1	AAL00284.1	ACA36940.1	ACO20213.1	ADI70106.1
283	ACB91243.1	ACF54951.1	AAL00640.1	ACA35673.1	ACO20373.1	ADI68248.1
284	ACB90524.1	ACF54796.1	AAK99984.1	ACA37179.1	ACO21129.1	ADI69426.1
285	ACB90020.1	ACF56086.1	AAK99534.1	ACA35668.1	ACO21238.1	ADI69894.1
286	ACB90358.1	ACF55132.1	AAK99878.1	ACA37220.1	ACO20644.1	ADI69536.1
287	ACB89775.1	ACF55352.1	AAK99289.1	ACA37171.1	ACO21010.1	ADI69082.1
288	ACB90636.1	ACF56363.1	AAL00056.1	ACA37565.1	ACO20999.1	ADI69380.1
289	ACB90170.1	ACF56203.1	AAK99649.1	ACA36053.1	ACO22098.1	ADI69774.1
290	ACB90164.1	ACF55938.1	AAK99642.1	ACA37254.1	ACO20959.1	ADI69776.1
291	ACB90316.1	ACF54909.1	AAK99921.1	ACA36828.1	ACO21946.1	ADI69490.1
292	ACB89932.1	ACF55731.1	AAK99447.1	ACA35645.1	ACO20336.1	ADI69243.1
293	ACB89873.1	ACF54872.1	AAK99386.1	ACA36995.1	ACO21717.1	ADI69185.1
294	ACB90308.1	ACF56265.1	AAK99929.1	ACA37488.1	ACO20631.1	ADI69482.1
295	ACB90572.1,ACB89412.1	ACF54995.1	-	ACA35852.1	ACO20643.1	ADI70420.1
296	ACB90027.1	ACF55197.1	AAK99539.1	ACA35870.1	ACO21417.1	ADI69889.1
297	ACB90625.1	ACF56281.1	AAL00045.1	ACA36509.1	ACO21721.1	ADI69391.1
298	ACB90644.1	ACF54911.1	AAL00065.1	ACA35755.1	ACO22061.1	ADI69371.1
299	ACB90893.1	ACF55624.1	AAL00317.1	ACA37474.1	ACO20885.1	ADI70139.1
300	ACB90687.1	ACF56229.1	AAL00106.1	ACA35593.1	ACO20401.1	ADI69324.1
301	ACB90934.1	ACF55202.1	AAL00358.1	ACA35519.1	ACO22157.1	ADI70180.1
302	ACB90623.1	ACF54809.1	AAL00043.1	ACA37514.1	ACO20564.1	ADI69393.1
303	ACB90859.1	ACF54960.1	AAL00277.1	ACA35910.1	ACO20500.1	ADI70100.1
304	ACB90396.1	ACF56031.1	AAK99845.1	ACA37027.1	ACO21268.1	ADI69571.1
305	ACB89972.1	ACF56603.1	AAK99483.1	ACA37138.1	ACO20655.1	ADI69281.1
306	ACB90829.1	ACF54837.1	AAL00254.1	ACA36554.1	ACO20378.1	ADI70060.1
307	ACB91008.1	ACF55832.1	AAL00407.1	ACA35804.1	ACO20595.1	ADI70232.1
308	ACB90756.1	ACF56286.1	AAL00175.1	ACA35993.1	ACO20225.1	ADI69981.1
309	ACB89521.1	ACF55795.1	AAK99042.1	ACA37135.1	ACO21898.1	ADI68802.1
310	ACB91442.1	ACF55013.1	AAL00831.1	ACA35914.1	ACO21575.1	ADI68466.1
311	ACB90040.1	ACF56223.1	AAK99552.1	ACA36409.1	ACO20828.1	ADI69874.1
312	ACB90658.1	ACF56443.1	AAL00079.1	ACA37100.1	ACO20657.1	ADI69354.1
313	ACB89359.1	ACF55805.1	AAK98904.1	ACA37063.1	ACO20290.1	ADI68628.1
314	ACB89630.1	ACF56576.1	AAK99144.1	ACA35625.1	ACO21355.1	ADI68909.1
315	ACB91349.1	ACF55346.1	AAL00739.1	ACA37219.1	ACO21402.1	ADI68358.1
316	ACB89821.1	ACF55328.1	AAK99337.1	ACA37005.1	ACO20398.1	ADI69126.1
317	ACB89996.1	ACF56707.1	AAK99508.1	ACA36823.1	ACO20884.1	ADI69925.1
318	ACB89717.1	ACF56590.1	AAK99234.1	ACA37044.1	ACO20987.1	ADI69010.1
319	ACB91157.1	ACF56176.1	AAL00550.1	ACA36913.1	ACO20191.1	ADI70402.1
320	ACB91118.1	ACF56793.1	AAL00511.1	ACA37016.1	ACO21960.1	ADI70350.1
321	ACB90143.1	ACF54808.1	AAK99618.1	ACA37128.1	ACO20662.1	ADI69802.1
322	ACB90420.1	ACF55988.1	AAK99824.1	ACA36070.1	ACO20623.1	ADI69596.1
323	ACB90306.1	ACF56688.1	AAK99931.1	ACA36443.1	ACO21164.1	ADI69480.1
324	ACB90938.1	ACF55690.1	AAL00362.1	ACA35956.1	ACO20369.1	ADI70184.1
325	ACB90370.1	ACF56326.1	AAK99869.1	ACA37533.1	ACO21035.1	ADI69546.1
326	ACB90873.1	ACF55077.1	AAL00296.1	ACA36320.1	ACO21635.1	ADI70119.1
327	ACB89804.1	ACF55056.1	AAK99319.1	ACA37359.1	ACO20960.1	ADI69107.1
328	ACB90611.1	ACF56717.1	AAL00031.1	ACA37327.1	ACO21386.1	ADI69407.1
329	ACB89986.1	ACF56572.1	AAK99497.1	ACA37112.1	ACO20896.1	ADI69936.1
330	ACB91363.1	ACF55870.1	AAL00751.1	ACA36609.1	ACO21727.1	ADI68371.1
331	ACB90749.1	ACF55344.1	AAL00169.1	ACA37153.1	ACO21581.1	ADI69974.1
332	ACB90055.1	ACF55825.1	AAK99565.1	ACA35886.1	ACO20649.1	ADI69860.1
333	ACB90273.1	ACF56157.1	AAK99747.1	ACA37328.1	ACO21835.1	ADI69661.1
334	ACB89541.1	ACF55384.1	AAK99058.1	ACA36732.1	ACO21820.1	ADI68821.1
335	ACB91045.1	ACF56808.1	AAL00431.1	ACA36511.1	ACO20252.1	ADI70263.1
336	ACB91070.1	ACF56114.1	AAL00463.1	ACA36677.1	ACO20525.1	ADI70294.1
337	ACB90330.1	ACF55454.1	AAK99907.1	ACA36775.1	ACO21680.1	ADI69506.1
338	ACB91315.1	ACF54829.1	AAL00710.1	ACA36103.1	ACO21729.1	ADI68322.1
339	ACB90820.1	ACF54968.1	AAL00244.1	ACA36047.1	ACO20325.1	ADI70048.1
340	ACB90701.1	ACF55617.1	AAL00120.1	ACA35564.1	ACO21365.1	ADI69310.1
341	ACB89437.1	ACF55509.1	AAK98961.1	ACA37305.1	ACO21841.1	ADI68698.1
342	ACB90926.1	ACF56047.1	AAL00348.1	ACA37241.1	ACO21281.1	ADI70172.1
343	ACB91426.1	ACF55123.1	AAL00814.1	ACA36679.1	ACO21203.1	ADI68448.1
344	ACB89672.1	ACF56679.1	AAK99186.1	ACA36305.1	ACO20289.1	ADI68941.1
345	ACB91219.1	ACF56856.1	AAL00618.1	ACA37033.1	ACO21613.1	ADI70498.1
346	ACB91437.1	ACF54988.1	AAL00826.1	ACA36183.1	ACO21771.1	ADI68461.1
347	ACB90192.1	ACF56804.1	AAK99670.1	ACA37083.1	ACO21433.1	ADI69752.1
348	ACB90430.1	ACF56647.1	AAK99814.1	ACA37614.1	ACO20831.1	ADI69607.1
349	ACB90172.1	ACF56821.1	AAK99651.1	ACA37176.1	ACO21209.1	ADI69772.1
350	ACB89403.1	ACF55179.1	AAK98949.1	ACA37387.1	ACO21298.1	ADI68685.1
351	ACB90489.1	ACF56275.1	AAK99954.1	ACA36730.1	ACO22077.1	ADI69456.1
352	ACB89469.1	ACF55699.1	AAK98991.1	ACA37263.1	ACO22069.1	ADI68748.1
353	ACB91333.1	ACF56262.1	AAL00727.1	ACA35567.1	ACO21377.1	ADI68343.1
354	ACB90781.1	ACF55326.1	AAL00202.1	ACA37432.1	ACO20455.1	ADI70005.1
355	ACB90004.1	ACF54878.1	AAK99516.1	ACA36196.1	ACO20338.1	ADI69917.1
356	ACB89452.1	ACF54975.1	AAK98974.1	ACA36945.1	ACO21942.1	ADI68712.1
357	ACB89831.1	ACF56440.1	AAK99348.1	ACA37370.1	ACO21920.1	ADI69136.1
358	ACB89829.1	ACF55944.1	AAK99346.1	ACA36039.1	ACO21012.1	ADI69134.1
359	ACB89589.1	ACF56670.1	AAK99106.1	ACA35591.1	ACO20723.1	ADI68864.1
360	ACB90053.1	ACF56471.1	AAK99563.1	ACA36906.1	ACO22145.1	ADI69862.1
361	ACB89302.1	ACF56185.1	AAK98853.1	ACA37477.1	ACO21388.1	ADI68565.1
362	ACB91087.1	ACF55286.1	AAL00481.1	ACA36872.1	ACO21731.1	ADI70312.1
363	ACB90300.1	ACF55964.1	AAK99936.1	ACA37088.1	ACO20456.1	ADI69474.1
364	ACB89287.1	ACF56488.1	AAK98838.1	ACA36946.1	ACO21768.1	ADI68550.1
365	ACB90484.1	ACF55604.1	AAK99949.1	ACA36380.1	ACO20580.1	ADI69461.1
366	ACB90363.1	ACF56342.1	AAK99873.1	ACA37597.1	ACO21306.1	ADI69541.1
367	ACB89656.1	ACF55564.1	AAK99171.1	ACA36450.1	ACO21008.1	ADI68925.1
368	ACB90817.1	ACF55953.1	AAL00241.1	ACA36545.1	ACO20923.1	ADI70044.1
369	ACB90776.1	ACF55102.1	AAL00197.1	ACA37454.1	ACO20682.1	ADI70000.1
370	ACB89460.1	ACF56111.1	AAK98982.1	ACA37593.1	ACO20718.1	ADI68738.1
371	ACB91316.1	ACF55394.1	AAL00711.1	ACA37059.1	ACO21261.1	ADI68323.1
372	ACB90635.1	ACF55603.1	AAL00055.1	ACA35768.1	ACO20931.1	ADI69381.1
373	ACB89855.1	ACF55744.1	AAK99369.1	ACA36565.1	ACO20620.1	ADI69166.1
374	ACB90697.1	ACF56820.1	AAL00116.1	ACA37452.1	ACO20243.1	ADI69314.1
375	ACB90174.1	ACF55319.1	AAK99653.1	ACA35947.1	ACO20447.1	ADI69770.1
376	ACB89284.1	ACF55506.1	AAK98836.1	ACA36682.1	ACO21644.1	ADI68547.1
377	ACB90305.1	ACF54953.1	AAK99932.1	ACA35554.1	ACO21799.1	ADI69479.1
378	ACB90497.1	ACF55515.1	AAK99964.1	ACA36801.1	ACO20293.1	ADI69446.1
379	ACB90123.1	ACF55644.1	AAK99599.1	ACA35919.1	ACO20571.1	ADI69823.1
380	ACB91061.1	ACF56003.1	AAL00449.1	ACA36846.1	ACO20612.1	ADI70280.1
381	ACB90850.1	ACF56268.1	AAL00268.1	ACA37505.1	ACO20158.1	ADI70089.1
382	ACB89696.1	ACF56032.1	AAK99210.1	ACA37255.1	ACO21205.1	ADI68970.1
383	ACB89988.1	ACF54843.1	AAK99499.1	ACA35563.1	ACO21847.1	ADI69934.1
384	ACB90446.1	ACF55225.1	AAK99796.1	ACA36791.1	ACO22060.1	ADI69626.1
385	ACB91282.1	ACF56715.1	AAL00677.1	ACA35726.1	ACO20964.1	ADI68288.1
386	ACB90206.1	ACF55893.1	AAK99686.1	ACA36452.1	ACO21192.1	ADI69738.1
387	ACB91238.1	ACF55239.1	AAL00635.1	ACA36815.1	ACO20917.1	ADI68243.1
388	ACB89384.1	ACF56308.1	AAK98935.1	ACA35590.1	ACO21064.1	ADI68665.1
389	ACB89480.1	ACF56132.1	AAK99003.1	ACA37197.1	ACO20446.1	ADI68759.1
390	ACB91328.1	ACF55857.1	AAL00724.1	ACA35695.1	ACO21084.1	ADI68338.1
391	ACB90042.1	ACF55280.1	AAK99554.1	ACA36013.1	ACO21752.1	ADI69872.1
392	ACB91162.1	ACF54940.1	AAL00554.1	ACA37103.1	ACO20414.1	ADI70406.1
393	ACB89597.1	ACF55107.1	AAK99114.1	ACA36280.1	ACO21465.1	ADI68872.1
394	ACB91044.1	ACF55255.1	AAL00430.1	ACA36323.1	ACO22209.1	ADI70262.1
395	ACB89492.1	ACF55073.1	AAK99015.1	ACA37410.1	ACO21127.1	ADI68771.1
396	ACB89581.1	ACF55980.1	AAK99097.1	ACA36866.1	ACO21472.1	ADI68854.1
397	ACB91216.1	ACF56423.1	AAL00615.1	ACA36698.1	ACO21984.1	ADI70494.1
398	ACB90159.1	ACF56553.1	AAK99637.1	ACA35729.1	ACO22200.1	ADI69781.1
399	ACB90145.1	ACF56303.1	AAK99620.1	ACA35608.1	ACO21397.1	ADI69799.1
400	ACB89655.1	ACF55263.1	AAK99170.1	ACA35792.1	ACO20424.1	ADI68924.1
401	ACB91274.1	ACF56524.1	AAL00668.1	ACA37566.1	ACO20388.1	ADI68279.1
402	ACB90747.1	ACF56811.1	AAL00167.1	ACA35952.1	ACO20392.1	ADI69972.1
403	ACB90506.1	ACF55425.1	AAK99973.1	ACA36606.1	ACO21543.1	ADI69437.1
404	ACB90318.1	ACF56362.1	AAK99919.1	ACA35798.1	ACO20331.1	ADI69492.1
405	ACB89693.1	ACF55185.1	AAK99207.1	ACA36002.1	ACO20408.1	ADI68967.1
406	ACB90892.1	ACF55507.1	AAL00316.1	ACA35742.1	ACO21047.1	ADI70138.1
407	ACB90799.1	ACF55760.1	AAL00223.1	ACA37090.1	ACO20442.1	ADI70026.1
408	ACB89882.1	ACF55012.1	AAK99394.1	ACA36495.1	ACO21323.1	ADI69193.1
409	ACB89800.1	ACF55864.1	AAK99314.1	ACA37080.1	ACO20301.1	ADI69103.1
410	ACB89827.1	ACF56776.1	AAK99344.1	ACA37304.1	ACO21606.1	ADI69132.1
411	ACB89995.1	ACF55223.1	AAK99506.1	ACA36824.1	ACO21251.1	ADI69926.1
412	ACB91330.1	ACF54987.1	AAL00725.1	ACA36308.1	ACO20186.1	ADI68340.1
413	ACB91338.1	ACF56693.1	AAL00732.1	ACA36354.1	ACO21420.1	ADI68348.1
414	ACB90182.1	ACF55568.1	AAK99660.1	ACA36887.1	ACO20461.1	ADI69763.1
415	ACB89833.1	ACF55969.1	AAK99349.1	ACA36805.1	ACO21762.1	ADI69138.1
416	ACB89535.1	ACF56387.1	AAK99053.1	ACA37356.1	ACO21911.1	ADI68815.1
417	ACB90183.1	ACF55096.1	AAK99661.1	ACA36274.1	ACO20492.1	ADI69762.1
418	ACB90603.1	ACF55531.1	AAL00024.1	ACA37300.1	ACO21309.1	ADI69415.1
419	ACB91005.1	ACF56430.1	AAL00404.1	ACA37351.1	ACO21523.1	ADI70228.1
420	ACB91434.1	ACF56374.1	AAL00823.1	ACA37398.1	ACO22014.1	ADI68458.1
421	ACB89443.1	ACF56442.1	AAK98967.1	ACA36736.1	ACO21053.1	ADI68705.1
422	ACB90978.1	ACF56534.1	AAL00400.1	ACA35807.1	ACO21075.1	ADI70223.1
423	ACB90822.1	ACF55007.1	AAL00246.1	ACA36806.1	ACO21186.1	ADI70051.1
424	ACB90737.1	ACF55409.1	AAL00157.1	ACA36814.1	ACO21992.1	ADI69962.1
425	ACB89965.1	ACF55272.1	AAK99476.1	ACA35514.1	ACO22015.1	ADI69274.1
426	ACB91299.1	ACF55827.1	AAL00694.1	ACA35966.1	ACO21879.1	ADI68306.1
427	ACB89992.1	ACF55985.1	AAK99503.1	ACA37437.1	ACO20630.1	ADI69929.1
428	ACB90783.1	ACF55746.1	AAL00204.1	ACA35788.1	ACO20622.1	ADI70007.1
429	ACB90333.1	ACF56088.1	AAK99903.1	ACA37368.1	ACO21318.1	ADI69510.1
430	ACB90904.1	ACF55284.1	AAL00328.1	ACA37394.1	ACO21343.1	ADI70150.1
431	ACB89744.1	ACF55002.1	AAK99261.1	ACA35815.1	ACO21926.1	ADI69042.1
432	ACB89949.1	ACF55168.1	AAK99461.1	ACA37150.1	ACO21970.1	ADI69259.1
433	ACB91436.1	ACF55458.1	AAL00825.1	ACA37606.1	ACO21113.1	ADI68460.1
434	ACB89445.1	ACF55190.1	AAK98969.1	ACA35751.1	ACO22204.1	ADI68707.1
435	ACB89842.1	ACF56162.1	AAK99358.1	ACA36601.1	ACO21462.1	ADI69147.1
436	ACB90366.1	ACF56580.1	AAK99871.1	ACA35719.1	ACO21907.1	ADI69544.1
437	ACB90254.1	ACF55081.1	AAK99732.1	ACA37237.1	ACO22167.1	ADI69682.1
438	ACB89316.1	ACF55218.1	AAK98866.1	ACA36575.1	ACO20222.1	ADI68579.1
439	ACB90952.1	ACF54930.1	AAL00375.1	ACA37068.1	ACO20332.1	ADI70199.1
440	ACB90271.1	ACF56509.1	AAK99745.1	ACA36920.1	ACO22179.1	ADI69664.1
441	ACB91370.1	ACF56759.1	AAL00757.1	ACA36080.1	ACO20541.1	ADI68378.1
442	ACB90048.1	ACF56422.1	AAK99560.1	ACA37201.1	ACO20873.1	ADI69867.1
443	ACB90299.1	ACF56391.1	AAK99937.1	ACA36060.1	ACO20676.1	ADI69473.1
444	ACB90195.1	ACF55195.1	AAK99673.1	ACA36294.1	ACO20825.1	ADI69749.1
445	ACB90223.1	ACF54802.1	AAK99704.1	ACA35927.1	ACO22180.1	ADI69715.1
446	ACB90647.1	ACF56608.1	AAL00068.1	ACA36175.1	ACO21299.1	ADI69368.1
447	ACB90418.1	ACF54793.1	AAK99826.1	ACA36184.1	ACO22003.1	ADI69594.1
448	ACB91441.1	ACF55163.1	AAL00830.1	ACA36526.1	ACO20849.1	ADI68465.1
449	ACB90213.1	ACF56148.1	AAK99694.1	ACA37279.1	ACO21982.1	ADI69729.1
450	ACB91367.1	ACF55590.1	AAL00754.1	ACA35780.1	ACO20374.1	ADI68374.1
